2-Theta,Intensity
10.0,62.48
10.05,48.27
10.1,50.42
10.15,53.08
10.2,48.87
10.25,48.04
10.3,46.43
10.35,57.87
10.4,56.33
10.45,41.76
10.5,42.11
10.55,55.09
10.6,48.07
10.65,51.99
10.7,43.3
10.75,52.84
10.8,41.02
10.85,44.71
10.9,38.02
10.95,37.21
11.0,35.56
11.05,44.7
11.1,44.3
11.15,40.58
11.2,39.88
11.25,38.15
11.3,44.26
11.35,33.71
11.4,48.09
11.45,40.61
11.5,38.84
11.55,41.57
11.6,37.81
11.65,40.66
11.7,51.28
11.75,49.39
11.8,51.64
11.85,54.84
11.9,54.89
11.95,43.17
12.0,45.84
12.05,37.71
12.1,40.02
12.15,45.75
12.2,33.97
12.25,37.06
12.3,37.61
12.35,47.04
12.4,38.62
12.45,45.63
12.5,41.05
12.55,50.63
12.6,48.09
12.65,54.15
12.7,44.73
12.75,40.52
12.8,40.11
12.85,50.34
12.9,52.38
12.95,49.4
13.0,40.37
13.05,50.38
13.1,37.76
13.15,38.32
13.2,39.21
13.25,39.83
13.3,42.56
13.35,44.59
13.4,35.78
13.45,47.53
13.5,46.05
13.55,38.69
13.6,48.67
13.65,49.84
13.7,42.84
13.75,47.97
13.8,44.45
13.85,46.32
13.9,48.82
13.95,44.09
14.0,55.93
14.05,50.08
14.1,46.89
14.15,45.03
14.2,54.57
14.25,52.53
14.3,42.18
14.35,40.11
14.4,46.73
14.45,46.73
14.5,46.24
14.55,47.76
14.6,45.81
14.65,57.3
14.7,49.67
14.75,54.75
14.8,52.94
14.85,46.69
14.9,51.45
14.95,49.53
15.0,54.5
15.05,47.38
15.1,57.87
15.15,55.07
15.2,50.06
15.25,62.87
15.3,54.69
15.35,55.95
15.4,57.19
15.45,65.92
15.5,67.6
15.55,68.46
15.6,62.72
15.65,57.49
15.7,58.95
15.75,55.21
15.8,61.69
15.85,53.69
15.9,50.51
15.95,59.43
16.0,53.37
16.05,57.53
16.1,50.65
16.15,65.5
16.2,65.07
16.25,63.33
16.3,56.04
16.35,61.35
16.4,51.48
16.45,65.54
16.5,52.83
16.55,59.3
16.6,55.57
16.65,63.56
16.7,55.11
16.75,56.52
16.8,58.3
16.85,52.75
16.9,60.51
16.95,58.09
17.0,60.36
17.05,50.4
17.1,58.38
17.15,58.73
