2-Theta,Intensity
10.0,53.16
10.05,56.21
10.1,62.52
10.15,58.61
10.2,54.23
10.25,64.12
10.3,57.24
10.35,58.81
10.4,55.07
10.45,53.29
10.5,60.88
10.55,61.35
10.6,66.84
10.65,64.79
10.7,57.17
10.75,66.98
10.8,66.09
10.85,67.4
10.9,58.88
10.95,57.43
11.0,58.21
11.05,71.72
11.1,62.28
11.15,58.0
11.2,63.09
11.25,68.65
11.3,67.32
11.35,65.25
11.4,63.61
11.45,70.79
11.5,70.3
11.55,63.36
11.6,76.55
11.65,69.42
11.7,68.74
11.75,73.12
11.8,74.66
11.85,72.44
11.9,66.15
11.95,78.32
12.0,63.52
12.05,70.09
12.1,74.99
12.15,65.91
12.2,69.69
12.25,69.36
12.3,74.89
12.35,77.29
12.4,71.88
12.45,66.49
12.5,66.05
12.55,63.01
12.6,62.36
12.65,68.46
12.7,68.88
12.75,76.5
12.8,67.86
12.85,64.23
12.9,69.56
12.95,72.47
13.0,70.51
13.05,69.97
13.1,64.36
13.15,65.61
13.2,65.71
13.25,63.87
13.3,70.38
13.35,71.3
13.4,59.54
13.45,61.23
13.5,69.99
13.55,67.34
13.6,68.37
13.65,60.0
13.7,66.49
13.75,57.2
13.8,70.57
13.85,71.12
13.9,69.36
13.95,64.02
14.0,62.71
14.05,59.73
14.1,63.26
14.15,63.98
14.2,66.72
14.25,66.46
14.3,61.88
14.35,57.17
14.4,60.02
14.45,65.92
14.5,63.16
14.55,66.79
14.6,62.41
14.65,57.89
14.7,68.44
14.75,56.33
14.8,63.2
14.85,57.61
14.9,63.58
14.95,63.23
15.0,59.39
15.05,63.65
15.1,55.98
15.15,61.1
15.2,52.0
15.25,63.69
15.3,51.64
15.35,55.65
15.4,64.1
15.45,54.69
15.5,53.58
15.55,54.7
15.6,63.91
15.65,56.46
15.7,57.04
15.75,59.18
15.8,54.98
15.85,60.93
15.9,62.56
15.95,60.0
16.0,59.79
16.05,57.56
16.1,61.61
16.15,53.11
16.2,47.44
16.25,56.48
16.3,46.63
16.35,58.97
16.4,50.79
16.45,62.52
16.5,60.6
16.55,58.31
16.6,54.26
16.65,47.75
16.7,55.07
16.75,59.53
16.8,49.39
16.85,51.86
16.9,54.11
16.95,60.14
17.0,47.38
17.05,46.55
17.1,47.56
17.15,50.0
17.2,45.7
17.25,47.25
17.3,59.23
17.35,52.51
17.4,54.19
17.45,48.17
17.5,45.2
17.55,47.37
17.6,52.7
17.65,58.06
17.7,54.72
17.75,44.01
17.8,54.97
17.85,48.25
17.9,49.03
17.95,45.7
18.0,45.16
18.05,40.96
18.1,42.15
18.15,40.31
18.2,36.3
18.25,44.32
18.3,45.73
18.35,46.86
18.4,42.89
18.45,37.62
18.5,41.8
18.55,48.83
18.6,44.44
18.65,55.68
18.7,51.61
18.75,50.74
18.8,55.17
18.85,57.34
18.9,44.35
18.95,54.25
19.0,55.4
19.05,57.25
19.1,49.98
19.15,50.49
19.2,51.38
19.25,40.88
19.3,54.49
19.35,54.1
19.4,43.15
19.45,46.72
19.5,56.1
19.55,48.36
19.6,49.91
19.65,54.99
19.7,53.39
19.75,52.0
19.8,65.88
19.85,66.86
19.9,60.23
19.95,57.83
20.0,63.41
20.05,66.17
20.1,60.04
20.15,62.09
20.2,67.94
20.25,62.77
20.3,64.76
20.35,64.28
20.4,66.31
20.45,64.13
20.5,70.45
20.55,62.02
20.6,61.18
20.65,60.11
20.7,62.8
20.75,64.85
20.8,60.81
20.85,58.52
20.9,65.76
20.95,55.27
21.0,57.02
21.05,57.06
21.1,58.85
21.15,60.24
21.2,54.77
21.25,59.68
21.3,49.31
21.35,48.4
21.4,56.5
21.45,64.56
21.5,55.55
21.55,49.37
21.6,60.88
21.65,52.07
21.7,56.68
21.75,60.33
21.8,54.74
21.85,53.95
21.9,51.96
21.95,55.81
22.0,53.65
22.05,56.42
22.1,55.25
22.15,60.88
22.2,60.1
22.25,57.12
22.3,49.74
22.35,53.29
22.4,55.18
22.45,57.09
22.5,51.18
22.55,53.58
22.6,57.41
22.65,56.1
22.7,61.29
22.75,62.67
22.8,47.2
22.85,51.49
22.9,49.06
22.95,54.45
23.0,59.78
23.05,49.91
23.1,56.46
23.15,56.71
23.2,61.91
23.25,53.26
23.3,52.87
23.35,56.08
23.4,60.93
23.45,51.38
23.5,55.25
23.55,58.53
23.6,54.56
23.65,59.12
23.7,61.86
23.75,57.21
23.8,62.57
23.85,56.56
23.9,62.83
23.95,47.54
24.0,61.26
24.05,59.97
24.1,56.41
24.15,61.04
24.2,51.18
24.25,51.43
24.3,47.74
24.35,54.96
24.4,42.11
24.45,51.23
24.5,60.18
24.55,58.7
24.6,52.71
24.65,51.27
24.7,53.53
24.75,51.64
24.8,52.48
24.85,52.63
24.9,54.03
24.95,55.8
25.0,54.87
25.05,57.71
25.1,58.02
25.15,57.55
25.2,50.78
25.25,65.78
25.3,57.49
25.35,68.03
25.4,60.86
25.45,51.75
25.5,56.23
25.55,53.95
25.6,55.59
25.65,52.04
25.7,43.1
25.75,53.93
25.8,57.55
25.85,56.31
25.9,45.82
25.95,47.35
26.0,50.27
26.05,53.97
26.1,42.85
26.15,40.04
26.2,54.57
26.25,42.09
26.3,43.73
26.35,55.52
26.4,42.02
26.45,51.85
26.5,39.8
26.55,55.64
26.6,54.68
26.65,52.0
26.7,51.6
26.75,47.71
