position,amplitude
0.0,0.48738
0.001,0.07939
0.002,-0.32242
0.003,-0.68404
0.004,-0.92065
0.005,-0.99673
0.006,-0.90752
0.007,-0.68004
0.008,-0.31846
0.009,0.10043
0.01,0.4835
0.011,0.79186
0.012,0.97684
0.013,0.97809
0.014,0.82879
0.015,0.52721
0.016,0.13649
0.017,-0.27195
0.018,-0.63727
0.019,-0.88455
0.02,-1.00107
0.021,-0.9277
0.022,-0.7137
0.023,-0.38298
0.024,0.0389
0.025,0.43323
0.026,0.76557
0.027,0.95765
0.028,0.99961
0.029,0.8667
0.03,0.58983
0.031,0.19901
0.032,-0.20803
0.033,-0.58322
0.034,-0.86436
0.035,-0.99915
0.036,-0.96011
0.037,-0.76466
0.038,-0.42442
0.039,-0.04062
0.04,0.37347
0.041,0.7076
0.042,0.93218
0.043,0.9915
0.044,0.89095
0.045,0.63022
0.046,0.26876
0.047,-0.14886
0.048,-0.52423
0.049,-0.82638
0.05,-0.99292
0.051,-0.96712
0.052,-0.79155
0.053,-0.48075
0.054,-0.08928
0.055,0.31759
0.056,0.66448
0.057,0.90413
0.058,1.00556
0.059,0.92333
0.06,0.67791
0.061,0.31921
0.062,-0.08696
0.063,-0.47414
0.064,-0.7806
0.065,-0.96633
0.066,-0.97849
0.067,-0.83351
0.068,-0.53766
0.069,-0.15762
0.07,0.26181
0.071,0.61132
0.072,0.89169
0.073,1.00512
0.074,0.93913
0.075,0.73336
0.076,0.38384
0.077,-0.01092
0.078,-0.42763
0.079,-0.7394
0.08,-0.94929
0.081,-0.99438
0.082,-0.8693
0.083,-0.59988
0.084,-0.22157
0.085,0.18577
0.086,0.57848
0.087,0.84604
0.088,0.99543
0.089,0.95543
0.09,0.77192
0.091,0.44959
0.092,0.03632
0.093,-0.35665
0.094,-0.70768
0.095,-0.94031
0.096,-1.00104
0.097,-0.90491
0.098,-0.63583
0.099,-0.27305
0.1,0.13729
0.101,0.52668
0.102,0.82548
0.103,0.9777
0.104,0.98561
0.105,0.79793
0.106,0.49891
0.107,0.11782
0.108,-0.30266
0.109,-0.64996
0.11,-0.89818
0.111,-1.00516
0.112,-0.92188
0.113,-0.69499
0.114,-0.35015
0.115,0.0614
0.116,0.4665
0.117,0.78078
0.118,0.9627
0.119,0.99555
0.12,0.84165
0.121,0.55386
0.122,0.16135
0.123,-0.24534
0.124,-0.60891
0.125,-0.87793
0.126,-1.00519
0.127,-0.93665
0.128,-0.7308
0.129,-0.40777
0.13,-0.00105
0.131,0.40106
0.132,0.73697
0.133,0.93957
0.134,0.99823
0.135,0.87417
0.136,0.60797
0.137,0.22911
0.138,-0.18182
0.139,-0.5585
0.14,-0.85017
0.141,-0.98629
0.142,-0.96936
0.143,-0.78237
0.144,-0.44892
0.145,-0.04987
0.146,0.33958
0.147,0.69942
0.148,0.93354
0.149,0.99807
0.15,0.9028
0.151,0.6593
0.152,0.29857
0.153,-0.12666
0.154,-0.51133
0.155,-0.80464
0.156,-0.98595
0.157,-0.97616
0.158,-0.81488
0.159,-0.51641
0.16,-0.12362
0.161,0.29316
0.162,0.64244
0.163,0.90992
0.164,1.00846
0.165,0.93525
0.166,0.70027
0.167,0.35033
0.168,-0.04535
0.169,-0.45531
0.17,-0.77311
0.171,-0.96782
0.172,-0.99558
0.173,-0.85478
0.174,-0.56625
0.175,-0.17757
0.176,0.23542
0.177,0.60665
0.178,0.86874
0.179,0.98537
0.18,0.94739
0.181,0.74079
0.182,0.40653
0.183,0.00588
0.184,-0.39672
0.185,-0.72445
0.186,-0.93712
0.187,-0.99808
0.188,-0.89009
0.189,-0.62395
0.19,-0.24802
0.191,0.16148
0.192,0.55762
0.193,0.84173
0.194,0.98539
0.195,0.97409
0.196,0.79165
0.197,0.47083
0.198,0.07283
0.199,-0.33731
0.2,-0.69656
0.201,-0.92909
0.202,-0.99894
0.203,-0.90104
0.204,-0.66568
0.205,-0.30267
0.206,0.11228
0.207,0.5049
0.208,0.80195
0.209,0.96875
0.21,0.9742
0.211,0.82212
0.212,0.52399
0.213,0.12384
0.214,-0.2746
0.215,-0.64588
0.216,-0.90518
0.217,-1.00293
0.218,-0.9298
0.219,-0.70971
0.22,-0.36855
0.221,0.03452
0.222,0.43656
0.223,0.76946
0.224,0.96519
0.225,0.99744
0.226,0.86477
0.227,0.57119
0.228,0.20295
0.229,-0.2069
0.23,-0.58435
0.231,-0.86136
0.232,-0.99995
0.233,-0.95098
0.234,-0.74349
0.235,-0.41823
0.236,-0.01614
0.237,0.37665
0.238,0.71914
0.239,0.94898
0.24,1.00198
0.241,0.88212
0.242,0.61801
0.243,0.2469
0.244,-0.14701
0.245,-0.53086
0.246,-0.83899
0.247,-0.98936
0.248,-0.97308
0.249,-0.80111
0.25,-0.47045
0.251,-0.09346
0.252,0.31534
0.253,0.66898
0.254,0.90882
0.255,0.99503
0.256,0.91449
0.257,0.6655
0.258,0.32038
0.259,-0.09857
0.26,-0.49239
0.261,-0.78755
0.262,-0.96367
0.263,-0.98243
0.264,-0.83612
0.265,-0.52827
0.266,-0.1465
0.267,0.26087
0.268,0.63038
0.269,0.88888
0.27,0.99639
0.271,0.92821
0.272,0.715
0.273,0.37744
0.274,-0.03923
0.275,-0.42439
0.276,-0.758
0.277,-0.95744
0.278,-0.99578
0.279,-0.85785
0.28,-0.59303
0.281,-0.20541
0.282,0.20811
0.283,0.59031
0.284,0.86606
0.285,0.99126
0.286,0.95311
0.287,0.75197
0.288,0.4248
0.289,0.04213
0.29,-0.36622
0.291,-0.72151
0.292,-0.94452
0.293,-0.99126
0.294,-0.89881
0.295,-0.6292
0.296,-0.26708
0.297,0.1375
0.298,0.52243
0.299,0.82585
0.3,0.99037
0.301,0.96979
0.302,0.79486
0.303,0.49296
0.304,0.09282
0.305,-0.31046
0.306,-0.6633
0.307,-0.91549
0.308,-1.00177
0.309,-0.90893
0.31,-0.67603
0.311,-0.33281
0.312,0.07914
0.313,0.47336
0.314,0.78008
0.315,0.96643
0.316,0.98458
0.317,0.84077
0.318,0.55078
0.319,0.15049
0.32,-0.26181
0.321,-0.61665
0.322,-0.87805
0.323,-0.99932
0.324,-0.94106
0.325,-0.72628
0.326,-0.39462
0.327,0.0161
0.328,0.42807
0.329,0.74839
0.33,0.95945
0.331,0.98842
0.332,0.86298
0.333,0.58633
0.334,0.21262
0.335,-0.19414
0.336,-0.57949
0.337,-0.85929
0.338,-0.99361
0.339,-0.9576
0.34,-0.77264
0.341,-0.44071
0.342,-0.03758
0.343,0.35927
0.344,0.70797
0.345,0.93893
0.346,1.00907
0.347,0.90624
0.348,0.63865
0.349,0.27518
0.35,-0.12743
0.351,-0.50924
0.352,-0.82373
0.353,-0.97349
0.354,-0.97332
0.355,-0.81326
0.356,-0.50819
0.357,-0.11163
0.358,0.30358
0.359,0.66113
0.36,0.90429
0.361,1.00701
0.362,0.91391
0.363,0.69687
0.364,0.34741
0.365,-0.07515
0.366,-0.45335
0.367,-0.77488
0.368,-0.96406
0.369,-0.99801
0.37,-0.84429
0.371,-0.55538
0.372,-0.16191
0.373,0.23899
0.374,0.6137
0.375,0.88391
0.376,0.99926
0.377,0.95168
0.378,0.72818
0.379,0.40257
0.38,-0.00954
0.381,-0.39985
0.382,-0.74791
0.383,-0.95129
0.384,-1.00534
0.385,-0.86818
0.386,-0.59691
0.387,-0.23612
0.388,0.17134
0.389,0.5549
0.39,0.83837
0.391,0.99559
0.392,0.97053
0.393,0.77195
0.394,0.46158
0.395,0.0579
0.396,-0.33965
0.397,-0.70384
0.398,-0.92184
0.399,-0.9972
0.4,-0.89817
0.401,-0.64541
0.402,-0.29349
0.403,0.11242
0.404,0.50184
0.405,0.80776
0.406,0.97237
0.407,0.98758
0.408,0.81351
0.409,0.5089
0.41,0.11124
0.411,-0.28797
0.412,-0.64738
0.413,-0.89602
0.414,-1.00276
0.415,-0.92806
0.416,-0.6926
0.417,-0.35264
0.418,0.05301
0.419,0.44986
0.42,0.78033
0.421,0.97018
0.422,0.98075
0.423,0.8561
0.424,0.55454
0.425,0.1878
0.426,-0.2379
0.427,-0.60086
0.428,-0.86525
0.429,-0.99346
0.43,-0.94398
0.431,-0.74727
0.432,-0.41961
0.433,-0.00274
0.434,0.39594
0.435,0.72195
0.436,0.94817
0.437,0.99999
0.438,0.88829
0.439,0.6048
0.44,0.24182
0.441,-0.16639
0.442,-0.54445
0.443,-0.84257
0.444,-0.99165
0.445,-0.96203
0.446,-0.77814
0.447,-0.46161
0.448,-0.06787
0.449,0.33548
0.45,0.68185
0.451,0.92111
0.452,0.991
0.453,0.90687
0.454,0.65631
0.455,0.31126
0.456,-0.1015
0.457,-0.4875
0.458,-0.8036
0.459,-0.96558
0.46,-0.97909
0.461,-0.82499
0.462,-0.52697
0.463,-0.14207
0.464,0.27107
0.465,0.63288
0.466,0.89939
0.467,0.9925
0.468,0.93936
0.469,0.71213
0.47,0.37269
0.471,-0.0331
0.472,-0.43536
0.473,-0.77036
0.474,-0.96683
0.475,-0.9929
0.476,-0.85179
0.477,-0.57725
0.478,-0.19128
0.479,0.21999
0.48,0.58434
0.481,0.86267
0.482,0.99919
0.483,0.95192
0.484,0.74412
0.485,0.41612
0.486,0.03014
0.487,-0.38062
0.488,-0.72892
0.489,-0.94215
0.49,-0.99696
0.491,-0.87972
0.492,-0.61928
0.493,-0.25903
0.494,0.163
0.495,0.53243
0.496,0.83104
0.497,0.99051
0.498,0.96155
0.499,0.78905
0.5,0.48455
0.501,0.07628
0.502,-0.32219
0.503,-0.67436
0.504,-0.9168
0.505,-1.00516
0.506,-0.91439
0.507,-0.67417
0.508,-0.31975
0.509,0.0897
0.51,0.48898
0.511,0.80233
0.512,0.96821
0.513,0.98696
0.514,0.82724
0.515,0.52649
0.516,0.15397
0.517,-0.27454
0.518,-0.62785
0.519,-0.88007
0.52,-0.99916
0.521,-0.93134
0.522,-0.72086
0.523,-0.38402
0.524,0.03335
0.525,0.42483
0.526,0.76227
0.527,0.94751
0.528,0.99962
0.529,0.85787
0.53,0.57606
0.531,0.20612
0.532,-0.21076
0.533,-0.58945
0.534,-0.85291
0.535,-0.98587
0.536,-0.95218
0.537,-0.75383
0.538,-0.43852
0.539,-0.03478
0.54,0.36868
0.541,0.71118
0.542,0.9346
0.543,1.00445
0.544,0.88605
0.545,0.62479
0.546,0.27125
0.547,-0.13549
0.548,-0.52609
0.549,-0.82438
0.55,-0.987
0.551,-0.97376
0.552,-0.79102
0.553,-0.4853
0.554,-0.09451
0.555,0.30947
0.556,0.66207
0.557,0.91636
0.558,0.99872
0.559,0.92482
0.56,0.68246
0.561,0.31929
0.562,-0.07542
0.563,-0.46856
0.564,-0.79292
0.565,-0.96661
0.566,-0.99401
0.567,-0.83644
0.568,-0.54608
0.569,-0.16146
0.57,0.24387
0.571,0.62974
0.572,0.88334
0.573,0.99772
0.574,0.93323
0.575,0.73064
0.576,0.39527
0.577,-0.02019
0.578,-0.41428
0.579,-0.74589
0.58,-0.96137
0.581,-0.98866
0.582,-0.87388
0.583,-0.59444
0.584,-0.21712
0.585,0.18249
0.586,0.57154
0.587,0.85842
0.588,0.98517
0.589,0.96014
0.59,0.77386
0.591,0.45097
0.592,0.05592
0.593,-0.36885
0.594,-0.70965
0.595,-0.93073
0.596,-1.00096
0.597,-0.89197
0.598,-0.63726
0.599,-0.27427
0.6,0.13777
0.601,0.52036
0.602,0.8133
0.603,0.98992
0.604,0.97675
0.605,0.79914
0.606,0.5075
0.607,0.10965
0.608,-0.29592
0.609,-0.66317
0.61,-0.899
0.611,-1.00924
0.612,-0.92905
0.613,-0.68906
0.614,-0.33995
0.615,0.06217
0.616,0.47074
0.617,0.77412
0.618,0.97002
0.619,0.99309
0.62,0.85195
0.621,0.55038
0.622,0.17977
0.623,-0.23078
0.624,-0.60586
0.625,-0.87311
0.626,-0.99954
0.627,-0.93956
0.628,-0.7423
0.629,-0.40572
0.63,0.01161
0.631,0.41107
0.632,0.73953
0.633,0.94018
0.634,0.99453
0.635,0.86676
0.636,0.60213
0.637,0.2269
0.638,-0.17524
0.639,-0.55942
0.64,-0.84204
0.641,-0.98949
0.642,-0.97153
0.643,-0.78492
0.644,-0.44664
0.645,-0.05753
0.646,0.35319
0.647,0.6928
0.648,0.93117
0.649,0.9903
0.65,0.90853
0.651,0.65033
0.652,0.29921
0.653,-0.12102
0.654,-0.49794
0.655,-0.82065
0.656,-0.9727
0.657,-0.97359
0.658,-0.80514
0.659,-0.50729
0.66,-0.1232
0.661,0.28896
0.662,0.65604
0.663,0.90027
0.664,0.99364
0.665,0.93669
0.666,0.70209
0.667,0.34855
0.668,-0.05169
0.669,-0.44943
0.67,-0.78133
0.671,-0.95925
0.672,-0.99153
0.673,-0.84471
0.674,-0.56706
0.675,-0.18573
0.676,0.23305
0.677,0.59424
0.678,0.87169
0.679,0.99114
0.68,0.95565
0.681,0.74206
0.682,0.41995
0.683,0.01693
0.684,-0.39917
0.685,-0.72265
0.686,-0.94895
0.687,-0.98885
0.688,-0.87462
0.689,-0.61443
0.69,-0.25102
0.691,0.17468
0.692,0.5496
0.693,0.83753
0.694,0.97798
0.695,0.96743
0.696,0.77868
0.697,0.45871
0.698,0.07053
0.699,-0.32814
0.7,-0.68467
0.701,-0.92282
0.702,-0.9906
0.703,-0.91262
0.704,-0.65719
0.705,-0.30251
0.706,0.1138
0.707,0.48849
0.708,0.80441
0.709,0.97481
0.71,0.97429
0.711,0.82817
0.712,0.52951
0.713,0.13773
0.714,-0.28588
0.715,-0.64425
0.716,-0.90224
0.717,-1.00445
0.718,-0.9299
0.719,-0.71472
0.72,-0.36575
0.721,0.04774
0.722,0.43643
0.723,0.76004
0.724,0.96411
0.725,0.99252
0.726,0.86031
0.727,0.57437
0.728,0.18976
0.729,-0.21862
0.73,-0.58672
0.731,-0.85927
0.732,-0.99081
0.733,-0.94715
0.734,-0.75173
0.735,-0.42687
0.736,-0.02685
0.737,0.38667
0.738,0.72585
0.739,0.94453
0.74,0.99113
0.741,0.89083
0.742,0.62731
0.743,0.25572
0.744,-0.16362
0.745,-0.5338
0.746,-0.83544
0.747,-0.98482
0.748,-0.97719
0.749,-0.78977
0.75,-0.4711
0.751,-0.07465
0.752,0.32256
0.753,0.6826
0.754,0.91969
0.755,0.99453
0.756,0.90671
0.757,0.66765
0.758,0.31285
0.759,-0.08246
0.76,-0.47853
0.761,-0.79076
0.762,-0.97103
0.763,-0.98002
0.764,-0.83214
0.765,-0.53394
0.766,-0.1371
0.767,0.26781
0.768,0.62391
0.769,0.88112
0.77,1.00493
0.771,0.92758
0.772,0.72643
0.773,0.3769
0.774,-0.02202
0.775,-0.43433
0.776,-0.76544
0.777,-0.95013
0.778,-0.98665
0.779,-0.86805
0.78,-0.58448
0.781,-0.20722
0.782,0.21346
0.783,0.58774
0.784,0.85253
0.785,0.98808
0.786,0.95215
0.787,0.76499
0.788,0.42456
0.789,0.03665
0.79,-0.36813
0.791,-0.70509
0.792,-0.9354
0.793,-1.00784
0.794,-0.89636
0.795,-0.64034
0.796,-0.27222
0.797,0.15003
0.798,0.52257
0.799,0.82244
0.8,0.99199
0.801,0.96671
0.802,0.79895
0.803,0.48437
0.804,0.08685
0.805,-0.31404
0.806,-0.67601
0.807,-0.92111
0.808,-1.00434
0.809,-0.90868
