2-Theta,Intensity
10.0,63.43
10.05,59.59
10.1,63.19
10.15,67.67
10.2,68.96
10.25,61.87
10.3,68.51
10.35,69.16
10.4,75.57
10.45,68.02
10.5,67.72
10.55,65.63
10.6,69.32
10.65,68.14
10.7,80.54
10.75,69.35
10.8,70.97
10.85,66.7
10.9,75.64
10.95,68.21
11.0,77.98
11.05,66.51
11.1,68.7
11.15,70.88
11.2,79.96
11.25,75.62
11.3,84.53
11.35,74.68
11.4,79.04
11.45,82.03
11.5,73.04
11.55,73.32
11.6,74.68
11.65,76.1
11.7,77.33
11.75,72.22
11.8,81.03
11.85,79.83
11.9,86.94
11.95,83.78
12.0,80.97
12.05,85.3
12.1,88.75
12.15,87.46
12.2,84.9
12.25,81.86
12.3,83.75
12.35,83.72
12.4,79.4
12.45,83.92
12.5,89.94
12.55,81.54
12.6,86.9
12.65,76.56
12.7,85.93
12.75,82.88
12.8,82.03
12.85,84.75
12.9,92.1
12.95,93.19
13.0,85.55
13.05,80.78
13.1,83.03
13.15,84.99
13.2,83.01
13.25,85.84
13.3,87.46
13.35,88.68
13.4,85.22
13.45,85.94
13.5,81.74
13.55,80.81
13.6,73.13
13.65,86.02
13.7,79.75
13.75,73.85
13.8,75.9
13.85,79.47
13.9,82.19
13.95,78.25
14.0,76.03
14.05,82.3
14.1,69.27
14.15,71.62
14.2,64.17
14.25,77.98
14.3,64.25
14.35,72.56
14.4,65.07
14.45,70.65
14.5,67.71
14.55,61.13
14.6,73.3
14.65,68.68
14.7,56.92
14.75,62.97
14.8,61.21
14.85,62.57
14.9,61.58
14.95,65.3
15.0,62.93
15.05,55.44
15.1,52.22
15.15,55.34
15.2,55.99
15.25,60.22
15.3,51.8
15.35,63.0
15.4,59.4
15.45,61.38
15.5,55.3
15.55,71.16
15.6,73.03
15.65,60.72
15.7,63.53
15.75,59.76
15.8,64.6
15.85,63.64
15.9,66.19
15.95,52.33
16.0,55.83
16.05,64.85
16.1,59.63
16.15,61.4
16.2,59.47
16.25,48.29
16.3,47.47
16.35,52.31
16.4,49.09
16.45,54.12
16.5,56.72
16.55,58.0
16.6,44.52
16.65,47.75
16.7,56.91
16.75,50.67
16.8,57.16
16.85,58.13
16.9,49.9
16.95,58.57
17.0,49.67
17.05,62.94
17.1,58.77
17.15,58.57
17.2,52.06
17.25,52.78
17.3,51.24
17.35,53.71
17.4,55.73
17.45,62.11
17.5,55.95
17.55,61.07
17.6,63.17
17.65,66.46
17.7,57.39
17.75,59.9
17.8,63.45
17.85,58.14
17.9,59.91
17.95,61.11
18.0,59.59
18.05,49.47
18.1,51.14
18.15,61.88
18.2,58.38
18.25,57.01
18.3,62.57
18.35,55.41
18.4,57.59
18.45,45.24
18.5,46.11
18.55,43.86
18.6,47.19
18.65,54.92
18.7,48.64
18.75,53.59
18.8,58.01
18.85,49.82
18.9,57.98
18.95,54.29
19.0,45.54
19.05,48.6
19.1,51.39
19.15,57.57
19.2,49.26
19.25,52.55
19.3,49.15
19.35,49.28
19.4,41.79
19.45,38.95
19.5,45.52
19.55,38.36
19.6,41.8
19.65,46.93
19.7,49.02
19.75,50.17
19.8,38.73
19.85,38.34
19.9,43.88
19.95,50.3
20.0,52.89
20.05,41.05
20.1,42.91
20.15,38.79
20.2,46.35
20.25,49.07
20.3,42.07
20.35,39.86
20.4,41.5
20.45,49.24
20.5,42.43
20.55,44.65
20.6,43.8
20.65,46.56
20.7,42.7
20.75,46.27
20.8,45.41
20.85,38.85
20.9,38.14
20.95,35.19
21.0,35.3
21.05,50.02
21.1,33.14
21.15,35.32
21.2,37.67
21.25,37.59
21.3,35.6
21.35,31.26
21.4,38.22
21.45,34.81
21.5,38.25
21.55,44.01
21.6,37.53
21.65,37.58
21.7,35.49
21.75,45.19
21.8,43.42
21.85,34.39
21.9,40.55
21.95,33.93
22.0,36.37
22.05,36.32
22.1,40.78
22.15,43.43
22.2,42.3
22.25,40.09
22.3,45.67
22.35,47.0
22.4,42.14
22.45,41.88
22.5,37.93
22.55,44.21
22.6,51.97
22.65,41.37
22.7,50.12
22.75,49.43
22.8,45.01
22.85,39.77
22.9,54.95
22.95,47.79
23.0,50.34
23.05,52.85
23.1,49.24
23.15,43.84
23.2,46.31
23.25,54.68
23.3,50.23
23.35,60.28
23.4,52.62
23.45,59.8
23.5,56.83
23.55,54.46
23.6,48.19
23.65,58.16
23.7,53.88
23.75,54.59
23.8,58.87
23.85,54.76
23.9,51.78
23.95,60.09
24.0,50.34
24.05,54.18
24.1,51.12
24.15,44.75
24.2,52.15
24.25,52.8
24.3,54.43
24.35,54.93
24.4,57.83
24.45,49.84
24.5,49.71
24.55,57.76
24.6,47.42
24.65,49.76
24.7,47.78
24.75,54.79
24.8,62.07
24.85,53.57
24.9,61.54
24.95,67.43
25.0,54.25
25.05,64.86
25.1,64.52
25.15,65.43
25.2,59.95
25.25,60.23
25.3,59.81
25.35,60.57
25.4,52.92
25.45,52.74
25.5,62.97
25.55,58.32
25.6,61.21
25.65,57.15
25.7,52.18
25.75,49.76
25.8,49.26
25.85,60.02
25.9,58.37
25.95,57.49
26.0,57.98
26.05,47.32
26.1,47.75
26.15,57.49
26.2,58.1
26.25,50.82
26.3,52.3
26.35,56.1
26.4,64.15
26.45,53.83
26.5,60.3
26.55,61.94
26.6,59.27
26.65,57.53
26.7,54.87
26.75,67.95
26.8,69.75
26.85,66.7
26.9,62.49
26.95,53.42
27.0,54.98
27.05,52.54
27.1,58.5
27.15,59.32
27.2,63.99
27.25,58.72
27.3,63.52
27.35,68.8
27.4,60.53
27.45,61.41
27.5,73.22
27.55,69.24
27.6,58.4
27.65,68.35
27.7,68.35
27.75,61.4
27.8,67.63
27.85,66.24
27.9,65.54
27.95,72.64
28.0,69.2
28.05,68.21
28.1,58.94
28.15,65.25
28.2,66.32
28.25,61.17
28.3,56.63
28.35,67.06
28.4,62.36
28.45,63.36
28.5,51.8
28.55,58.64
28.6,57.99
28.65,48.06
28.7,58.51
28.75,59.29
28.8,51.68
28.85,51.4
28.9,49.94
28.95,54.75
29.0,51.44
29.05,49.92
29.1,54.98
29.15,61.85
29.2,61.32
29.25,54.76
29.3,51.04
29.35,52.57
29.4,52.22
29.45,47.78
29.5,51.82
29.55,53.1
29.6,52.18
29.65,51.61
29.7,54.3
29.75,63.42
29.8,55.41
29.85,51.41
29.9,63.05
29.95,60.79
30.0,60.24
30.05,57.02
30.1,61.33
30.15,56.36
30.2,49.4
30.25,63.61
30.3,56.78
30.35,62.16
30.4,59.94
30.45,64.76
30.5,60.27
30.55,61.27
30.6,59.48
30.65,58.29
30.7,64.11
30.75,49.23
30.8,52.66
30.85,52.42
30.9,57.48
30.95,50.14
31.0,51.05
31.05,57.57
31.1,63.31
31.15,61.59
31.2,53.0
31.25,53.57
31.3,51.2
31.35,46.74
31.4,54.04
31.45,50.26
31.5,59.81
31.55,61.51
31.6,47.44
31.65,52.54
31.7,55.93
31.75,50.73
31.8,54.56
31.85,54.46
31.9,58.54
31.95,51.31
32.0,53.75
32.05,60.34
32.1,60.41
32.15,59.59
32.2,58.33
32.25,51.76
32.3,48.72
32.35,54.51
32.4,56.77
32.45,61.07
32.5,56.49
32.55,60.77
32.6,51.12
32.65,60.56
32.7,65.59
32.75,54.78
32.8,58.78
32.85,60.62
32.9,54.57
32.95,56.14
33.0,57.47
33.05,56.08
33.1,62.15
33.15,70.0
33.2,64.04
33.25,64.72
33.3,68.49
33.35,61.9
33.4,67.86
33.45,75.01
33.5,72.52
33.55,73.95
33.6,70.06
33.65,59.74
33.7,70.87
33.75,76.75
33.8,73.68
33.85,78.63
33.9,65.89
33.95,63.27
34.0,73.73
34.05,74.84
34.1,71.84
34.15,66.34
34.2,69.72
34.25,70.14
34.3,74.92
34.35,64.33
34.4,71.33
